tour,faim,pensee,famine
0,15,1,0
1,30,2,0
2,45,3,0
3,60,4,0
4,75,5,0
5,90,6,0
6,105,7,0
7,105,7,0
8,105,7,0
9,105,7,1
10,105,7,2
11,105,7,3
12,105,7,4
13,105,7,5
14,105,7,6
15,105,7,7
16,105,7,8
17,105,7,9
18,105,7,9
19,105,7,9
20,95,7,9
21,85,7,9
22,75,7,9
23,65,7,9
24,55,7,9
25,45,7,9
26,45,7,9
27,60,8,9
28,75,9,9
29,90,10,9
30,105,11,9
31,105,11,9
32,105,11,10
33,105,11,11
34,105,11,12
35,105,11,13
36,105,11,13
37,105,11,13
38,95,11,13
39,85,11,13
40,75,11,13
41,65,11,13
42,55,11,13
43,45,11,13
44,45,11,13
45,60,12,13
46,75,13,13
47,90,14,13
48,105,15,13
49,105,15,13
50,105,15,14
51,105,15,14
52,105,15,14
53,95,15,14
54,85,15,14
55,75,15,14
56,65,15,14
57,55,15,14
58,45,15,14
59,45,15,14
60,60,16,14
61,75,17,14
62,90,18,14
63,105,19,14
64,105,19,14
65,105,19,15
66,105,19,16
67,105,19,17
68,105,19,18
69,105,19,19
70,105,19,19
71,105,19,19
72,95,19,19
73,85,19,19
74,75,19,19
75,65,19,19
76,55,19,19
77,45,19,19
78,45,19,19
79,60,20,19
80,75,21,19
81,90,22,19
82,105,23,19
83,105,23,19
84,105,23,20
85,105,23,21
86,105,23,22
87,105,23,23
88,105,23,24
89,105,23,25
90,105,23,26
91,105,23,27
92,105,23,28
93,105,23,29
94,105,23,30
95,105,23,31
96,105,23,32
97,105,23,33
98,105,23,34
99,105,23,35
100,105,23,36
101,105,23,37
102,105,23,38
103,105,23,39
104,105,23,40
105,105,23,41
106,105,23,42
107,105,23,43
108,105,23,43
109,105,23,43
110,95,23,43
111,85,23,43
112,75,23,43
113,65,23,43
114,55,23,43
115,45,23,43
116,45,23,43
117,60,24,43
118,75,25,43
119,90,26,43
120,105,27,43
121,105,27,43
122,105,27,44
123,105,27,45
124,105,27,46
125,105,27,47
126,105,27,48
127,105,27,49
128,105,27,50
129,105,27,51
130,105,27,52
131,105,27,53
132,105,27,54
133,105,27,55
134,105,27,56
135,105,27,57
136,105,27,58
137,105,27,59
138,105,27,60
139,105,27,61
140,105,27,62
141,105,27,63
142,105,27,64
143,105,27,65
144,105,27,66
145,105,27,67
146,105,27,68
147,105,27,69
148,105,27,70
149,105,27,71
150,105,27,72
151,105,27,73
152,105,27,74
153,105,27,75
154,105,27,76
155,105,27,77
156,105,27,78
157,105,27,79
158,105,27,80
159,105,27,81
160,105,27,82
161,105,27,83
162,105,27,84
163,105,27,84
164,105,27,84
165,95,27,84
166,85,27,84
167,75,27,84
168,65,27,84
169,55,27,84
170,45,27,84
171,45,27,84
172,60,28,84
173,75,29,84
174,90,30,84
175,105,31,84
176,105,31,84
177,105,31,85
178,105,31,86
179,105,31,87
180,105,31,88
181,105,31,89
182,105,31,90
183,105,31,90
184,105,31,90
185,95,31,90
186,85,31,90
187,75,31,90
188,65,31,90
189,55,31,90
190,45,31,90
191,45,31,90
192,60,32,90
193,75,33,90
194,90,34,90
195,105,35,90
196,105,35,90
197,105,35,90
198,105,35,90
199,95,35,90
200,85,35,90
201,75,35,90
202,65,35,90
203,55,35,90
204,45,35,90
205,45,35,90
206,60,36,90
207,75,37,90
208,90,38,90
209,105,39,90
210,105,39,90
211,105,39,91
212,105,39,92
213,105,39,93
214,105,39,94
215,105,39,95
216,105,39,95
217,105,39,95
218,95,39,95
219,85,39,95
220,75,39,95
221,65,39,95
222,55,39,95
223,45,39,95
224,45,39,95
225,60,40,95
226,75,41,95
227,90,42,95
228,105,43,95
229,105,43,95
230,105,43,96
231,105,43,97
232,105,43,98
233,105,43,99
234,105,43,100
235,105,43,100
236,105,43,100
237,95,43,100
238,85,43,100
239,75,43,100
240,65,43,100
241,55,43,100
242,45,43,100
243,45,43,100
244,60,44,100
245,75,45,100
246,90,46,100
247,105,47,100
248,105,47,100
249,105,47,101
250,105,47,102
251,105,47,103
252,105,47,104
253,105,47,105
254,105,47,105
255,105,47,105
256,95,47,105
257,85,47,105
258,75,47,105
259,65,47,105
260,55,47,105
261,45,47,105
262,45,47,105
263,60,48,105
264,75,49,105
265,90,50,105
266,105,51,105
267,105,51,105
268,105,51,106
269,105,51,107
270,105,51,108
271,105,51,109
272,105,51,110
273,105,51,110
274,105,51,110
275,95,51,110
276,85,51,110
277,75,51,110
278,65,51,110
279,55,51,110
280,45,51,110
281,45,51,110
282,60,52,110
283,75,53,110
284,90,54,110
285,105,55,110
286,105,55,110
287,105,55,111
288,105,55,112
289,105,55,113
290,105,55,114
291,105,55,115
292,105,55,115
293,105,55,115
294,95,55,115
295,85,55,115
296,75,55,115
297,65,55,115
298,55,55,115
299,45,55,115
300,45,55,115
301,60,56,115
302,75,57,115
303,90,58,115
304,105,59,115
305,105,59,115
306,105,59,115
307,105,59,115
308,95,59,115
309,85,59,115
310,75,59,115
311,65,59,115
312,55,59,115
313,45,59,115
314,45,59,115
315,60,60,115
316,75,61,115
317,90,62,115
318,105,63,115
319,105,63,115
320,105,63,116
321,105,63,117
322,105,63,117
323,105,63,117
324,95,63,117
325,85,63,117
326,75,63,117
327,65,63,117
328,55,63,117
329,45,63,117
330,45,63,117
331,60,64,117
332,75,65,117
333,90,66,117
334,105,67,117
335,105,67,117
336,105,67,118
337,105,67,119
338,105,67,120
339,105,67,120
340,105,67,120
341,95,67,120
342,85,67,120
343,75,67,120
344,65,67,120
345,55,67,120
346,45,67,120
347,45,67,120
348,60,68,120
349,75,69,120
350,90,70,120
351,105,71,120
352,105,71,120
353,105,71,121
354,105,71,122
355,105,71,123
356,105,71,123
357,105,71,123
358,95,71,123
359,85,71,123
360,75,71,123
361,65,71,123
362,55,71,123
363,45,71,123
364,45,71,123
365,60,72,123
366,75,73,123
367,90,74,123
368,105,75,123
369,105,75,123
370,105,75,124
371,105,75,125
372,105,75,126
373,105,75,126
374,105,75,126
375,95,75,126
376,85,75,126
377,75,75,126
378,65,75,126
379,55,75,126
380,45,75,126
381,45,75,126
382,60,76,126
383,75,77,126
384,90,78,126
385,105,79,126
386,105,79,126
387,105,79,126
388,105,79,127
389,105,79,128
390,105,79,129
391,105,79,130
392,105,79,131
393,105,79,131
394,105,79,131
395,95,79,131
396,85,79,131
397,75,79,131
398,65,79,131
399,55,79,131
400,45,79,131
401,45,79,131
402,60,80,131
403,75,81,131
404,90,82,131
405,105,83,131
406,105,83,131
407,105,83,132
408,105,83,133
409,105,83,134
410,105,83,134
411,105,83,134
412,95,83,134
413,85,83,134
414,75,83,134
415,65,83,134
416,55,83,134
417,45,83,134
418,35,83,134
419,25,83,134
420,15,83,134
421,5,83,134
422,-5,83,134
423,-5,83,134
424,10,84,134
425,25,85,134
426,40,86,134
427,55,87,134
428,70,88,134
429,85,89,134
430,100,90,134
431,100,90,134
432,100,90,134
433,100,90,134
434,90,90,134
435,80,90,134
436,70,90,134
437,60,90,134
438,50,90,134
439,40,90,134
440,40,90,134
441,55,91,134
442,70,92,134
443,85,93,134
444,100,94,134
445,100,94,134
446,100,94,135
447,100,94,136
448,100,94,137
449,100,94,138
450,100,94,138
451,100,94,138
452,90,94,138
453,80,94,138
454,70,94,138
455,60,94,138
456,50,94,138
457,40,94,138
458,40,94,138
459,55,95,138
