tour,faim,pensee,famine
0,15,1,0
1,30,2,0
2,45,3,0
3,60,4,0
4,75,5,0
5,90,6,0
6,105,7,0
7,105,7,0
8,105,7,0
9,105,7,0
10,95,7,0
11,85,7,0
12,75,7,0
13,65,7,0
14,55,7,0
15,45,7,0
16,45,7,0
17,60,8,0
18,75,9,0
19,90,10,0
20,105,11,0
21,105,11,0
22,105,11,1
23,105,11,2
24,105,11,3
25,105,11,4
26,105,11,5
27,105,11,6
28,105,11,7
29,105,11,8
30,105,11,9
31,105,11,10
32,105,11,10
33,105,11,10
34,95,11,10
35,85,11,10
36,75,11,10
37,65,11,10
38,55,11,10
39,45,11,10
40,45,11,10
41,60,12,10
42,75,13,10
43,90,14,10
44,105,15,10
45,105,15,10
46,105,15,11
47,105,15,12
48,105,15,13
49,105,15,14
50,105,15,15
51,105,15,16
52,105,15,16
53,105,15,16
54,95,15,16
55,85,15,16
56,75,15,16
57,65,15,16
58,55,15,16
59,45,15,16
60,45,15,16
61,60,16,16
62,75,17,16
63,90,18,16
64,105,19,16
65,105,19,16
66,105,19,17
67,105,19,18
68,105,19,19
69,105,19,20
70,105,19,21
71,105,19,22
72,105,19,23
73,105,19,24
74,105,19,25
75,105,19,26
76,105,19,27
77,105,19,28
78,105,19,29
79,105,19,30
80,105,19,31
81,105,19,32
82,105,19,33
83,105,19,34
84,105,19,35
85,105,19,36
86,105,19,37
87,105,19,38
88,105,19,39
89,105,19,40
90,105,19,41
91,105,19,42
92,105,19,43
93,105,19,44
94,105,19,45
95,105,19,46
96,105,19,47
97,105,19,48
98,105,19,49
99,105,19,50
100,105,19,51
101,105,19,52
102,105,19,53
103,105,19,54
104,105,19,55
105,105,19,56
106,105,19,57
107,105,19,58
108,105,19,59
109,105,19,60
110,105,19,61
111,105,19,62
112,105,19,63
113,105,19,64
114,105,19,65
115,105,19,66
116,105,19,67
117,105,19,68
118,105,19,69
119,105,19,70
120,105,19,71
121,105,19,72
122,105,19,73
123,105,19,74
124,105,19,75
125,105,19,76
126,105,19,77
127,105,19,78
128,105,19,79
129,105,19,80
130,105,19,81
131,105,19,82
132,105,19,83
133,105,19,84
134,105,19,85
135,105,19,86
136,105,19,87
137,105,19,88
138,105,19,89
139,105,19,90
140,105,19,91
141,105,19,92
142,105,19,93
143,105,19,94
144,105,19,95
145,105,19,96
146,105,19,97
147,105,19,98
148,105,19,99
149,105,19,100
150,105,19,101
151,105,19,102
152,105,19,103
153,105,19,104
154,105,19,105
155,105,19,106
156,105,19,107
157,105,19,108
158,105,19,109
159,105,19,110
160,105,19,111
161,105,19,112
162,105,19,113
163,105,19,114
164,105,19,115
165,105,19,116
166,105,19,117
167,105,19,118
168,105,19,119
169,105,19,120
170,105,19,121
171,105,19,122
172,105,19,123
173,105,19,124
174,105,19,125
175,105,19,126
176,105,19,127
177,105,19,128
178,105,19,129
179,105,19,130
180,105,19,131
181,105,19,132
182,105,19,133
183,105,19,134
184,105,19,135
185,105,19,136
186,105,19,137
187,105,19,138
188,105,19,139
189,105,19,140
190,105,19,141
191,105,19,142
192,105,19,143
193,105,19,144
194,105,19,145
195,105,19,146
196,105,19,147
197,105,19,148
198,105,19,149
199,105,19,150
200,105,19,151
201,105,19,152
202,105,19,153
203,105,19,154
204,105,19,155
205,105,19,156
206,105,19,157
207,105,19,158
208,105,19,159
209,105,19,160
210,105,19,161
211,105,19,162
212,105,19,163
213,105,19,164
214,105,19,165
215,105,19,166
216,105,19,167
217,105,19,168
218,105,19,169
219,105,19,170
220,105,19,171
221,105,19,172
222,105,19,173
223,105,19,174
224,105,19,175
225,105,19,176
226,105,19,177
227,105,19,178
228,105,19,179
229,105,19,180
230,105,19,181
231,105,19,182
232,105,19,183
233,105,19,184
234,105,19,185
235,105,19,186
236,105,19,187
237,105,19,188
238,105,19,189
239,105,19,190
240,105,19,191
241,105,19,192
242,105,19,193
243,105,19,194
244,105,19,195
245,105,19,196
246,105,19,197
247,105,19,198
248,105,19,199
249,105,19,200
250,105,19,201
251,105,19,202
252,105,19,203
253,105,19,204
254,105,19,205
255,105,19,206
256,105,19,207
257,105,19,208
258,105,19,209
259,105,19,210
260,105,19,211
261,105,19,212
262,105,19,213
263,105,19,214
264,105,19,215
265,105,19,216
266,105,19,217
267,105,19,218
268,105,19,219
269,105,19,220
270,105,19,221
271,105,19,222
272,105,19,223
273,105,19,224
274,105,19,225
275,105,19,226
276,105,19,227
277,105,19,228
278,105,19,229
279,105,19,230
280,105,19,231
281,105,19,232
282,105,19,233
283,105,19,233
284,105,19,233
285,95,19,233
286,85,19,233
287,75,19,233
288,65,19,233
289,55,19,233
290,45,19,233
291,45,19,233
292,60,20,233
293,75,21,233
294,90,22,233
295,105,23,233
296,105,23,233
297,105,23,234
298,105,23,235
299,105,23,235
300,105,23,235
301,95,23,235
302,85,23,235
303,75,23,235
304,65,23,235
305,55,23,235
306,45,23,235
307,45,23,235
308,60,24,235
309,75,25,235
310,90,26,235
311,105,27,235
312,105,27,235
313,105,27,235
314,105,27,235
315,95,27,235
316,85,27,235
317,75,27,235
318,65,27,235
319,55,27,235
320,45,27,235
321,45,27,235
322,60,28,235
323,75,29,235
324,90,30,235
325,105,31,235
326,105,31,235
327,105,31,235
328,105,31,235
329,95,31,235
330,85,31,235
331,75,31,235
332,65,31,235
333,55,31,235
334,45,31,235
335,45,31,235
336,60,32,235
337,75,33,235
338,90,34,235
339,105,35,235
340,105,35,235
341,105,35,236
342,105,35,237
343,105,35,238
344,105,35,238
345,105,35,238
346,95,35,238
347,85,35,238
348,75,35,238
349,65,35,238
350,55,35,238
351,45,35,238
352,45,35,238
353,60,36,238
354,75,37,238
355,90,38,238
356,105,39,238
357,105,39,238
358,105,39,239
359,105,39,240
360,105,39,241
361,105,39,242
362,105,39,243
363,105,39,243
364,105,39,243
365,95,39,243
366,85,39,243
367,75,39,243
368,65,39,243
369,55,39,243
370,45,39,243
371,45,39,243
372,60,40,243
373,75,41,243
374,90,42,243
375,105,43,243
376,105,43,243
377,105,43,244
378,105,43,245
379,105,43,246
380,105,43,247
381,105,43,248
382,105,43,249
383,105,43,250
384,105,43,251
385,105,43,252
386,105,43,253
387,105,43,254
388,105,43,255
389,105,43,256
390,105,43,257
391,105,43,258
392,105,43,259
393,105,43,260
394,105,43,261
395,105,43,262
396,105,43,263
397,105,43,264
398,105,43,265
399,105,43,266
400,105,43,267
401,105,43,268
402,105,43,269
403,105,43,270
404,105,43,271
405,105,43,272
406,105,43,272
407,105,43,272
408,95,43,272
409,85,43,272
410,75,43,272
411,65,43,272
412,55,43,272
413,45,43,272
414,45,43,272
415,60,44,272
416,75,45,272
417,90,46,272
418,105,47,272
419,105,47,272
420,105,47,273
421,105,47,274
422,105,47,275
423,105,47,276
424,105,47,276
425,105,47,276
426,95,47,276
427,85,47,276
428,75,47,276
429,65,47,276
430,55,47,276
431,45,47,276
432,45,47,276
433,60,48,276
434,75,49,276
435,90,50,276
436,105,51,276
437,105,51,276
438,105,51,277
439,105,51,278
440,105,51,279
441,105,51,280
442,105,51,281
443,105,51,281
444,105,51,281
445,95,51,281
446,85,51,281
447,75,51,281
448,65,51,281
449,55,51,281
450,45,51,281
451,45,51,281
452,60,52,281
453,75,53,281
454,90,54,281
455,105,55,281
456,105,55,281
457,105,55,282
458,105,55,283
459,105,55,284
460,105,55,284
