tour,faim,pensee,famine
0,5,1,0
1,10,2,0
2,15,3,0
3,20,4,0
4,25,5,0
5,30,6,0
6,35,7,0
7,40,8,0
8,45,9,0
9,50,10,0
10,55,11,0
11,60,12,0
12,65,13,0
13,70,14,0
14,75,15,0
15,80,16,0
16,85,17,0
17,90,18,0
18,95,19,0
19,100,20,0
20,100,20,0
21,100,20,0
22,100,20,0
23,90,20,0
24,80,20,0
25,70,20,0
26,60,20,0
27,50,20,0
28,40,20,0
29,40,20,0
30,45,21,0
31,50,22,0
32,55,23,0
33,60,24,0
34,65,25,0
35,70,26,0
36,75,27,0
37,80,28,0
38,85,29,0
39,90,30,0
40,95,31,0
41,100,32,0
42,100,32,0
43,100,32,1
44,100,32,2
45,100,32,3
46,100,32,4
47,100,32,4
48,100,32,4
49,90,32,4
50,80,32,4
51,70,32,4
52,60,32,4
53,50,32,4
54,40,32,4
55,30,32,4
56,20,32,4
57,10,32,4
58,0,32,4
59,0,32,4
60,5,33,4
61,10,34,4
62,15,35,4
63,20,36,4
64,25,37,4
65,30,38,4
66,35,39,4
67,40,40,4
68,45,41,4
69,50,42,4
70,55,43,4
71,60,44,4
72,65,45,4
73,70,46,4
74,75,47,4
75,80,48,4
76,85,49,4
77,90,50,4
78,95,51,4
79,100,52,4
80,100,52,4
81,100,52,5
82,100,52,6
83,100,52,6
84,100,52,6
85,90,52,6
86,80,52,6
87,70,52,6
88,60,52,6
89,50,52,6
90,40,52,6
91,30,52,6
92,20,52,6
93,10,52,6
94,0,52,6
95,-10,52,6
96,-10,52,6
97,-5,53,6
98,0,54,6
99,5,55,6
100,10,56,6
101,15,57,6
102,20,58,6
103,25,59,6
104,30,60,6
105,35,61,6
106,40,62,6
107,45,63,6
108,50,64,6
109,55,65,6
110,60,66,6
111,65,67,6
112,70,68,6
113,75,69,6
114,80,70,6
115,85,71,6
116,90,72,6
117,95,73,6
118,100,74,6
119,100,74,6
120,100,74,6
121,100,74,6
122,90,74,6
123,80,74,6
124,70,74,6
125,60,74,6
126,50,74,6
127,40,74,6
128,40,74,6
129,45,75,6
130,50,76,6
131,55,77,6
132,60,78,6
133,65,79,6
134,70,80,6
135,75,81,6
136,80,82,6
137,85,83,6
138,90,84,6
139,95,85,6
140,100,86,6
141,100,86,6
142,100,86,7
143,100,86,8
144,100,86,9
145,100,86,10
146,100,86,11
147,100,86,12
148,100,86,13
