tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,1
12,100,10,2
13,100,10,3
14,100,10,4
15,100,10,5
16,100,10,6
17,100,10,7
18,100,10,7
19,100,10,7
20,90,10,7
21,80,10,7
22,70,10,7
23,60,10,7
24,50,10,7
25,40,10,7
26,30,10,7
27,20,10,7
28,10,10,7
29,10,10,7
30,20,11,7
31,30,12,7
32,40,13,7
33,50,14,7
34,60,15,7
35,70,16,7
36,80,17,7
37,90,18,7
38,100,19,7
39,100,19,7
40,100,19,8
41,100,19,8
42,100,19,9
43,100,19,10
44,100,19,11
45,100,19,12
46,100,19,13
47,100,19,14
48,100,19,15
49,100,19,16
50,100,19,17
51,100,19,18
52,100,19,19
53,100,19,20
54,100,19,21
55,100,19,22
56,100,19,23
57,100,19,24
58,100,19,25
59,100,19,26
60,100,19,27
61,100,19,28
62,100,19,29
63,100,19,30
64,100,19,31
65,100,19,32
66,100,19,33
67,100,19,34
68,100,19,35
69,100,19,36
70,100,19,37
71,100,19,38
72,100,19,39
73,100,19,40
74,100,19,41
75,100,19,42
76,100,19,43
77,100,19,44
78,100,19,45
79,100,19,46
80,100,19,47
81,100,19,48
82,100,19,49
83,100,19,50
84,100,19,51
85,100,19,52
86,100,19,53
87,100,19,54
88,100,19,55
89,100,19,56
90,100,19,57
91,100,19,58
92,100,19,59
93,100,19,59
94,100,19,59
95,90,19,59
96,80,19,59
97,70,19,59
98,60,19,59
99,50,19,59
100,40,19,59
101,30,19,59
102,20,19,59
103,10,19,59
104,10,19,59
105,20,20,59
106,30,21,59
107,40,22,59
108,50,23,59
109,60,24,59
110,70,25,59
111,80,26,59
112,90,27,59
113,100,28,59
114,100,28,59
115,100,28,59
116,100,28,59
117,90,28,59
118,80,28,59
119,70,28,59
120,60,28,59
121,50,28,59
122,40,28,59
123,30,28,59
124,20,28,59
125,10,28,59
126,0,28,59
127,-10,28,59
128,-10,28,59
129,0,29,59
130,10,30,59
131,20,31,59
132,30,32,59
133,40,33,59
134,50,34,59
135,60,35,59
136,70,36,59
137,80,37,59
138,90,38,59
139,100,39,59
140,100,39,59
141,100,39,59
142,100,39,59
143,90,39,59
144,80,39,59
145,70,39,59
146,60,39,59
147,50,39,59
148,40,39,59
149,30,39,59
150,20,39,59
151,10,39,59
152,10,39,59
153,20,40,59
154,30,41,59
155,40,42,59
156,50,43,59
157,60,44,59
158,70,45,59
159,80,46,59
160,90,47,59
161,100,48,59
162,100,48,59
163,100,48,60
164,100,48,61
165,100,48,62
166,100,48,63
167,100,48,63
168,100,48,63
169,90,48,63
170,80,48,63
171,70,48,63
172,60,48,63
173,50,48,63
174,40,48,63
175,30,48,63
176,20,48,63
177,10,48,63
178,10,48,63
179,20,49,63
180,30,50,63
181,40,51,63
182,50,52,63
183,60,53,63
184,70,54,63
185,80,55,63
186,90,56,63
187,100,57,63
188,100,57,63
189,100,57,63
190,100,57,63
191,90,57,63
192,80,57,63
193,70,57,63
194,60,57,63
195,50,57,63
196,40,57,63
197,30,57,63
198,20,57,63
199,10,57,63
200,0,57,63
201,-10,57,63
202,-10,57,63
203,0,58,63
204,10,59,63
205,20,60,63
206,30,61,63
207,40,62,63
208,50,63,63
209,60,64,63
210,70,65,63
211,80,66,63
212,90,67,63
213,100,68,63
214,100,68,63
215,100,68,63
216,100,68,63
217,90,68,63
218,80,68,63
219,70,68,63
220,60,68,63
221,50,68,63
222,40,68,63
223,30,68,63
224,20,68,63
225,10,68,63
226,0,68,63
227,-10,68,63
228,-10,68,63
229,0,69,63
230,10,70,63
231,20,71,63
232,30,72,63
233,40,73,63
234,50,74,63
235,60,75,63
236,70,76,63
237,80,77,63
238,90,78,63
239,100,79,63
240,100,79,63
241,100,79,63
242,100,79,63
243,90,79,63
244,80,79,63
245,70,79,63
246,60,79,63
247,50,79,63
248,40,79,63
249,30,79,63
250,20,79,63
251,10,79,63
252,0,79,63
253,-10,79,63
254,-10,79,63
255,0,80,63
256,10,81,63
257,20,82,63
258,30,83,63
259,40,84,63
260,50,85,63
261,60,86,63
262,70,87,63
263,80,88,63
264,90,89,63
265,100,90,63
266,100,90,63
267,100,90,63
268,100,90,63
269,90,90,63
270,80,90,63
271,70,90,63
272,60,90,63
273,50,90,63
274,40,90,63
275,30,90,63
276,20,90,63
277,10,90,63
278,0,90,63
279,-10,90,63
280,-10,90,63
281,0,91,63
282,10,92,63
283,20,93,63
284,30,94,63
285,40,95,63
286,50,96,63
287,60,97,63
288,70,98,63
289,80,99,63
290,90,100,63
291,100,101,63
292,100,101,63
293,100,101,63
294,100,101,63
295,90,101,63
296,80,101,63
297,70,101,63
298,60,101,63
299,50,101,63
300,40,101,63
301,30,101,63
302,20,101,63
303,10,101,63
304,0,101,63
305,-10,101,63
306,-10,101,63
307,0,102,63
308,10,103,63
