tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,0
12,100,10,1
13,100,10,2
14,100,10,3
15,100,10,4
16,100,10,5
17,100,10,6
18,100,10,7
19,100,10,8
20,100,10,9
21,100,10,10
22,100,10,11
23,100,10,12
24,100,10,13
25,100,10,14
26,100,10,15
27,100,10,16
28,100,10,17
29,100,10,18
30,100,10,19
31,100,10,20
32,100,10,21
33,100,10,22
34,100,10,23
35,100,10,24
36,100,10,25
37,100,10,26
38,100,10,27
39,100,10,28
40,100,10,29
41,100,10,30
42,100,10,30
43,100,10,30
44,90,10,30
45,80,10,30
46,70,10,30
47,60,10,30
48,50,10,30
49,40,10,30
50,30,10,30
51,20,10,30
52,10,10,30
53,10,10,30
54,20,11,30
55,30,12,30
56,40,13,30
57,50,14,30
58,60,15,30
59,70,16,30
60,80,17,30
61,90,18,30
62,100,19,30
63,100,19,30
64,100,19,31
65,100,19,32
66,100,19,33
67,100,19,34
68,100,19,34
69,100,19,34
70,90,19,34
71,80,19,34
72,70,19,34
73,60,19,34
74,50,19,34
75,40,19,34
76,30,19,34
77,20,19,34
78,10,19,34
79,10,19,34
80,20,20,34
81,30,21,34
82,40,22,34
83,50,23,34
84,60,24,34
85,70,25,34
86,80,26,34
87,90,27,34
88,100,28,34
89,100,28,34
90,100,28,35
91,100,28,36
92,100,28,37
93,100,28,38
94,100,28,39
95,100,28,40
96,100,28,41
97,100,28,42
98,100,28,43
99,100,28,44
100,100,28,45
101,100,28,46
102,100,28,47
103,100,28,48
104,100,28,49
105,100,28,50
106,100,28,51
107,100,28,52
108,100,28,53
109,100,28,54
110,100,28,55
111,100,28,56
112,100,28,57
113,100,28,58
114,100,28,59
115,100,28,60
116,100,28,61
117,100,28,62
118,100,28,63
119,100,28,64
120,100,28,65
121,100,28,66
122,100,28,67
123,100,28,68
124,100,28,69
125,100,28,70
126,100,28,71
127,100,28,72
128,100,28,73
129,100,28,74
130,100,28,75
131,100,28,76
132,100,28,77
133,100,28,78
134,100,28,79
135,100,28,80
136,100,28,81
137,100,28,82
138,100,28,83
139,100,28,84
140,100,28,85
141,100,28,86
142,100,28,87
143,100,28,88
144,100,28,89
145,100,28,90
146,100,28,91
147,100,28,92
148,100,28,93
149,100,28,94
150,100,28,95
151,100,28,96
152,100,28,97
153,100,28,98
154,100,28,99
155,100,28,100
156,100,28,101
157,100,28,102
158,100,28,103
159,100,28,104
160,100,28,105
161,100,28,106
162,100,28,107
163,100,28,108
164,100,28,109
165,100,28,110
166,100,28,111
167,100,28,112
168,100,28,113
169,100,28,114
170,100,28,115
171,100,28,116
172,100,28,117
173,100,28,118
174,100,28,119
175,100,28,120
176,100,28,121
177,100,28,122
178,100,28,123
179,100,28,123
180,100,28,123
181,90,28,123
182,80,28,123
183,70,28,123
184,60,28,123
185,50,28,123
186,40,28,123
187,30,28,123
188,20,28,123
189,10,28,123
190,10,28,123
191,20,29,123
192,30,30,123
193,40,31,123
194,50,32,123
195,60,33,123
196,70,34,123
197,80,35,123
198,90,36,123
199,100,37,123
200,100,37,123
201,100,37,123
202,100,37,123
203,90,37,123
204,80,37,123
205,70,37,123
206,60,37,123
207,50,37,123
208,40,37,123
209,30,37,123
210,20,37,123
211,10,37,123
212,0,37,123
213,-10,37,123
214,-10,37,123
215,0,38,123
216,10,39,123
217,20,40,123
218,30,41,123
219,40,42,123
220,50,43,123
221,60,44,123
222,70,45,123
223,80,46,123
224,90,47,123
225,100,48,123
226,100,48,123
227,100,48,123
228,100,48,123
229,90,48,123
230,80,48,123
231,70,48,123
232,60,48,123
233,50,48,123
234,40,48,123
235,30,48,123
236,20,48,123
237,10,48,123
238,0,48,123
239,-10,48,123
240,-10,48,123
241,0,49,123
242,10,50,123
243,20,51,123
244,30,52,123
245,40,53,123
246,50,54,123
247,60,55,123
248,70,56,123
249,80,57,123
250,90,58,123
251,100,59,123
252,100,59,123
253,100,59,123
254,100,59,123
255,90,59,123
256,80,59,123
257,70,59,123
258,60,59,123
259,50,59,123
260,40,59,123
261,30,59,123
262,20,59,123
263,10,59,123
264,0,59,123
265,-10,59,123
266,-10,59,123
267,0,60,123
268,10,61,123
269,20,62,123
270,30,63,123
271,40,64,123
272,50,65,123
273,60,66,123
274,70,67,123
275,80,68,123
276,90,69,123
277,100,70,123
278,100,70,123
279,100,70,123
280,100,70,123
281,90,70,123
282,80,70,123
283,70,70,123
284,60,70,123
285,50,70,123
286,40,70,123
287,30,70,123
288,20,70,123
289,10,70,123
290,0,70,123
291,-10,70,123
292,-10,70,123
293,0,71,123
294,10,72,123
295,20,73,123
296,30,74,123
297,40,75,123
298,50,76,123
299,60,77,123
300,70,78,123
301,80,79,123
302,90,80,123
303,100,81,123
304,100,81,123
305,100,81,123
306,100,81,123
307,90,81,123
308,80,81,123
