tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,0
12,100,10,0
13,95,10,0
14,90,10,0
15,85,10,0
16,80,10,0
17,75,10,0
18,70,10,0
19,65,10,0
20,60,10,0
21,55,10,0
22,50,10,0
23,45,10,0
24,45,10,0
25,55,11,0
26,65,12,0
27,75,13,0
28,85,14,0
29,95,15,0
30,105,16,0
31,105,16,0
32,105,16,1
33,105,16,2
34,105,16,3
35,105,16,4
36,105,16,5
37,105,16,6
38,105,16,7
39,105,16,8
40,105,16,9
41,105,16,10
42,105,16,11
43,105,16,12
44,105,16,13
45,105,16,14
46,105,16,15
47,105,16,16
48,105,16,17
49,105,16,18
50,105,16,18
51,105,16,18
52,100,16,18
53,95,16,18
54,90,16,18
55,85,16,18
56,80,16,18
57,75,16,18
58,70,16,18
59,65,16,18
60,60,16,18
61,55,16,18
62,50,16,18
63,45,16,18
64,45,16,18
65,55,17,18
66,65,18,18
67,75,19,18
68,85,20,18
69,95,21,18
70,105,22,18
71,105,22,18
72,105,22,19
73,105,22,20
74,105,22,21
75,105,22,22
76,105,22,23
77,105,22,24
78,105,22,25
79,105,22,26
80,105,22,27
81,105,22,28
82,105,22,29
83,105,22,29
84,105,22,30
85,105,22,31
86,105,22,32
87,105,22,33
88,105,22,34
89,105,22,35
90,105,22,36
91,105,22,37
92,105,22,38
93,105,22,39
94,105,22,40
95,105,22,41
96,105,22,42
97,105,22,43
98,105,22,44
99,105,22,45
100,105,22,46
101,105,22,46
102,105,22,46
103,100,22,46
104,95,22,46
105,90,22,46
106,85,22,46
107,80,22,46
108,75,22,46
109,70,22,46
110,65,22,46
111,60,22,46
112,55,22,46
113,50,22,46
114,45,22,46
115,45,22,46
116,55,23,46
117,65,24,46
118,75,25,46
119,85,26,46
120,95,27,46
121,105,28,46
122,105,28,46
123,105,28,47
124,105,28,48
125,105,28,49
126,105,28,50
127,105,28,51
128,105,28,52
129,105,28,53
130,105,28,54
131,105,28,55
132,105,28,56
133,105,28,57
134,105,28,58
135,105,28,58
136,105,28,58
137,100,28,58
138,95,28,58
139,90,28,58
140,85,28,58
141,80,28,58
142,75,28,58
143,70,28,58
144,65,28,58
145,60,28,58
146,55,28,58
147,50,28,58
148,45,28,58
149,45,28,58
150,55,29,58
151,65,30,58
152,75,31,58
153,85,32,58
154,95,33,58
155,105,34,58
156,105,34,58
157,105,34,59
158,105,34,60
159,105,34,61
160,105,34,62
161,105,34,63
162,105,34,64
163,105,34,65
164,105,34,66
165,105,34,67
166,105,34,68
167,105,34,69
168,105,34,70
169,105,34,71
170,105,34,72
171,105,34,73
172,105,34,74
173,105,34,75
174,105,34,76
175,105,34,77
176,105,34,78
177,105,34,79
178,105,34,80
179,105,34,81
180,105,34,82
181,105,34,83
182,105,34,84
183,105,34,85
184,105,34,86
185,105,34,87
186,105,34,88
187,105,34,89
188,105,34,90
189,105,34,91
190,105,34,92
191,105,34,93
192,105,34,94
193,105,34,95
194,105,34,96
195,105,34,97
196,105,34,98
197,105,34,99
198,105,34,99
199,105,34,100
200,105,34,101
201,105,34,102
202,105,34,103
203,105,34,104
204,105,34,105
205,105,34,106
206,105,34,107
207,105,34,108
208,105,34,109
209,105,34,110
210,105,34,111
211,105,34,112
212,105,34,113
213,105,34,114
214,105,34,115
215,105,34,116
216,105,34,117
217,105,34,118
218,105,34,119
219,105,34,120
220,105,34,121
221,105,34,122
222,105,34,123
223,105,34,124
224,105,34,125
225,105,34,125
226,105,34,125
227,100,34,125
228,95,34,125
229,90,34,125
230,85,34,125
231,80,34,125
232,75,34,125
233,70,34,125
234,65,34,125
235,60,34,125
236,55,34,125
237,50,34,125
238,45,34,125
239,45,34,125
240,55,35,125
241,65,36,125
242,75,37,125
243,85,38,125
244,95,39,125
245,105,40,125
246,105,40,125
247,105,40,126
248,105,40,127
249,105,40,128
250,105,40,129
251,105,40,130
252,105,40,130
253,105,40,130
254,100,40,130
255,95,40,130
256,90,40,130
257,85,40,130
258,80,40,130
259,75,40,130
260,70,40,130
261,65,40,130
262,60,40,130
263,55,40,130
264,50,40,130
265,45,40,130
266,45,40,130
267,55,41,130
268,65,42,130
269,75,43,130
270,85,44,130
271,95,45,130
272,105,46,130
273,105,46,130
274,105,46,131
275,105,46,132
276,105,46,133
277,105,46,134
278,105,46,135
279,105,46,136
280,105,46,137
281,105,46,138
282,105,46,138
283,105,46,138
284,100,46,138
285,95,46,138
286,90,46,138
287,85,46,138
288,80,46,138
289,75,46,138
290,70,46,138
291,65,46,138
292,60,46,138
293,55,46,138
294,50,46,138
295,45,46,138
296,45,46,138
297,55,47,138
298,65,48,138
299,75,49,138
300,85,50,138
301,95,51,138
302,105,52,138
303,105,52,138
304,105,52,139
305,105,52,140
306,105,52,141
307,105,52,142
308,105,52,143
309,105,52,144
