tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,0
12,100,10,1
13,100,10,2
14,100,10,3
15,100,10,3
16,100,10,3
17,85,10,3
18,70,10,3
19,55,10,3
20,40,10,3
21,40,10,3
22,50,11,3
23,60,12,3
24,70,13,3
25,80,14,3
26,90,15,3
27,100,16,3
28,100,16,3
29,100,16,4
30,100,16,5
31,100,16,6
32,100,16,7
33,100,16,7
34,100,16,7
35,85,16,7
36,70,16,7
37,55,16,7
38,40,16,7
39,40,16,7
40,50,17,7
41,60,18,7
42,70,19,7
43,80,20,7
44,90,21,7
45,100,22,7
46,100,22,7
47,100,22,8
48,100,22,9
49,100,22,9
50,100,22,9
51,85,22,9
52,70,22,9
53,55,22,9
54,40,22,9
55,25,22,9
56,10,22,9
57,10,22,9
58,20,23,9
59,30,24,9
60,40,25,9
61,50,26,9
62,60,27,9
63,70,28,9
64,80,29,9
65,90,30,9
66,100,31,9
67,100,31,9
68,100,31,10
69,100,31,11
70,100,31,11
71,100,31,11
72,85,31,11
73,70,31,11
74,55,31,11
75,40,31,11
76,25,31,11
77,25,31,11
78,35,32,11
79,45,33,11
80,55,34,11
81,65,35,11
82,75,36,11
83,85,37,11
84,95,38,11
85,105,39,11
86,105,39,11
87,105,39,11
88,105,39,11
89,90,39,11
90,75,39,11
91,60,39,11
92,45,39,11
93,45,39,11
94,55,40,11
95,65,41,11
96,75,42,11
97,85,43,11
98,95,44,11
99,105,45,11
100,105,45,11
101,105,45,11
102,105,45,11
103,90,45,11
104,75,45,11
105,60,45,11
106,45,45,11
107,45,45,11
108,55,46,11
109,65,47,11
110,75,48,11
111,85,49,11
112,95,50,11
113,105,51,11
114,105,51,11
115,105,51,11
116,105,51,11
117,90,51,11
118,75,51,11
119,60,51,11
120,45,51,11
121,45,51,11
122,55,52,11
123,65,53,11
124,75,54,11
125,85,55,11
126,95,56,11
127,105,57,11
128,105,57,11
129,105,57,11
130,105,57,11
131,90,57,11
132,75,57,11
133,60,57,11
134,45,57,11
135,30,57,11
136,15,57,11
137,0,57,11
138,-15,57,11
139,-15,57,11
140,-5,58,11
141,5,59,11
142,15,60,11
143,25,61,11
144,35,62,11
145,45,63,11
146,55,64,11
147,65,65,11
148,75,66,11
149,85,67,11
150,95,68,11
151,105,69,11
152,105,69,11
153,105,69,11
154,105,69,11
155,90,69,11
156,75,69,11
157,60,69,11
158,45,69,11
159,30,69,11
160,15,69,11
161,0,69,11
162,-15,69,11
163,-15,69,11
164,-5,70,11
165,5,71,11
166,15,72,11
167,25,73,11
168,35,74,11
169,45,75,11
170,55,76,11
171,65,77,11
172,75,78,11
173,85,79,11
174,95,80,11
175,105,81,11
176,105,81,11
177,105,81,12
178,105,81,13
179,105,81,13
180,105,81,13
181,90,81,13
182,75,81,13
183,60,81,13
184,45,81,13
185,30,81,13
186,30,81,13
187,40,82,13
188,50,83,13
189,60,84,13
190,70,85,13
191,80,86,13
192,90,87,13
193,100,88,13
194,100,88,13
195,100,88,14
196,100,88,15
197,100,88,15
198,100,88,15
199,85,88,15
200,70,88,15
201,55,88,15
202,40,88,15
203,40,88,15
204,50,89,15
205,60,90,15
206,70,91,15
207,80,92,15
208,90,93,15
209,100,94,15
210,100,94,15
211,100,94,15
212,100,94,15
213,85,94,15
214,70,94,15
215,55,94,15
216,40,94,15
217,40,94,15
218,50,95,15
219,60,96,15
220,70,97,15
221,80,98,15
222,90,99,15
223,100,100,15
224,100,100,15
225,100,100,15
226,100,100,16
227,100,100,17
228,100,100,18
229,100,100,19
230,100,100,20
231,100,100,20
232,100,100,20
233,85,100,20
234,70,100,20
235,55,100,20
236,40,100,20
237,40,100,20
238,50,101,20
239,60,102,20
240,70,103,20
241,80,104,20
242,90,105,20
243,100,106,20
244,100,106,20
245,100,106,21
246,100,106,21
247,100,106,21
248,85,106,21
249,70,106,21
250,55,106,21
251,40,106,21
252,40,106,21
253,50,107,21
254,60,108,21
255,70,109,21
256,80,110,21
257,90,111,21
258,100,112,21
259,100,112,21
260,100,112,22
261,100,112,23
262,100,112,23
263,100,112,23
264,85,112,23
265,70,112,23
266,55,112,23
267,40,112,23
268,40,112,23
269,50,113,23
270,60,114,23
271,70,115,23
272,80,116,23
273,90,117,23
274,100,118,23
275,100,118,23
276,100,118,24
277,100,118,25
278,100,118,26
279,100,118,27
280,100,118,28
281,100,118,29
282,100,118,29
283,100,118,29
284,85,118,29
285,70,118,29
286,55,118,29
287,40,118,29
288,40,118,29
289,50,119,29
290,60,120,29
291,70,121,29
292,80,122,29
293,90,123,29
294,100,124,29
295,100,124,29
296,100,124,30
297,100,124,31
298,100,124,31
299,100,124,31
300,85,124,31
301,70,124,31
302,55,124,31
303,40,124,31
304,25,124,31
305,25,124,31
306,35,125,31
307,45,126,31
308,55,127,31
