tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,1
12,100,10,2
13,100,10,3
14,100,10,4
15,100,10,5
16,100,10,5
17,100,10,5
18,90,10,5
19,80,10,5
20,70,10,5
21,60,10,5
22,50,10,5
23,40,10,5
24,40,10,5
25,50,11,5
26,60,12,5
27,70,13,5
28,80,14,5
29,90,15,5
30,100,16,5
31,100,16,5
32,100,16,6
33,100,16,7
34,100,16,8
35,100,16,9
36,100,16,10
37,100,16,10
38,100,16,10
39,90,16,10
40,80,16,10
41,70,16,10
42,60,16,10
43,50,16,10
44,40,16,10
45,40,16,10
46,50,17,10
47,60,18,10
48,70,19,10
49,80,20,10
50,90,21,10
51,100,22,10
52,100,22,10
53,100,22,11
54,100,22,12
55,100,22,13
56,100,22,14
57,100,22,15
58,100,22,16
59,100,22,17
60,100,22,18
61,100,22,18
62,100,22,18
63,90,22,18
64,80,22,18
65,70,22,18
66,60,22,18
67,50,22,18
68,40,22,18
69,40,22,18
70,50,23,18
71,60,24,18
72,70,25,18
73,80,26,18
74,90,27,18
75,100,28,18
76,100,28,18
77,100,28,19
78,100,28,20
79,100,28,21
80,100,28,22
81,100,28,23
82,100,28,24
83,100,28,25
84,100,28,26
85,100,28,27
86,100,28,28
87,100,28,29
88,100,28,30
89,100,28,31
90,100,28,32
91,100,28,33
92,100,28,34
93,100,28,35
94,100,28,36
95,100,28,37
96,100,28,38
97,100,28,38
98,100,28,38
99,90,28,38
100,80,28,38
101,70,28,38
102,60,28,38
103,50,28,38
104,40,28,38
105,40,28,38
106,50,29,38
107,60,30,38
108,70,31,38
109,80,32,38
110,90,33,38
111,100,34,38
112,100,34,38
113,100,34,39
114,100,34,39
115,100,34,39
116,90,34,39
117,80,34,39
118,70,34,39
119,60,34,39
120,50,34,39
121,40,34,39
122,40,34,39
123,50,35,39
124,60,36,39
125,70,37,39
126,80,38,39
127,90,39,39
128,100,40,39
129,100,40,39
130,100,40,39
131,100,40,39
132,90,40,39
133,80,40,39
134,70,40,39
135,60,40,39
136,50,40,39
137,40,40,39
138,40,40,39
139,50,41,39
140,60,42,39
141,70,43,39
142,80,44,39
143,90,45,39
144,100,46,39
145,100,46,39
146,100,46,40
147,100,46,41
148,100,46,42
149,100,46,43
150,100,46,44
151,100,46,45
152,100,46,46
153,100,46,47
154,100,46,48
155,100,46,48
156,100,46,49
157,100,46,50
158,100,46,51
159,100,46,52
160,100,46,53
161,100,46,54
162,100,46,55
163,100,46,55
164,100,46,55
165,90,46,55
166,80,46,55
167,70,46,55
168,60,46,55
169,50,46,55
170,40,46,55
171,40,46,55
172,50,47,55
173,60,48,55
174,70,49,55
175,80,50,55
176,90,51,55
177,100,52,55
178,100,52,55
179,100,52,56
180,100,52,57
181,100,52,58
182,100,52,59
183,100,52,60
184,100,52,61
185,100,52,61
186,100,52,61
187,90,52,61
188,80,52,61
189,70,52,61
190,60,52,61
191,50,52,61
192,40,52,61
193,40,52,61
194,50,53,61
195,60,54,61
196,70,55,61
197,80,56,61
198,90,57,61
199,100,58,61
200,100,58,61
201,100,58,62
202,100,58,63
203,100,58,63
204,100,58,63
205,90,58,63
206,80,58,63
207,70,58,63
208,60,58,63
209,50,58,63
210,40,58,63
211,30,58,63
212,30,58,63
213,40,59,63
214,50,60,63
215,60,61,63
216,70,62,63
217,80,63,63
218,90,64,63
219,100,65,63
220,100,65,63
221,100,65,64
222,100,65,65
223,100,65,66
224,100,65,67
225,100,65,68
226,100,65,69
227,100,65,70
228,100,65,71
229,100,65,72
230,100,65,73
231,100,65,74
232,100,65,75
233,100,65,76
234,100,65,77
235,100,65,78
236,100,65,79
237,100,65,80
238,100,65,81
239,100,65,82
240,100,65,83
241,100,65,84
242,100,65,85
243,100,65,86
244,100,65,87
245,100,65,88
246,100,65,89
247,100,65,90
248,100,65,91
249,100,65,92
250,100,65,93
251,100,65,94
252,100,65,95
253,100,65,96
254,100,65,97
255,100,65,98
256,100,65,99
257,100,65,100
258,100,65,101
259,100,65,102
260,100,65,103
261,100,65,104
262,100,65,105
263,100,65,106
264,100,65,107
265,100,65,108
266,100,65,109
267,100,65,110
268,100,65,111
269,100,65,112
270,100,65,113
271,100,65,114
272,100,65,115
273,100,65,116
274,100,65,117
275,100,65,118
276,100,65,119
277,100,65,120
278,100,65,121
279,100,65,122
280,100,65,123
281,100,65,124
282,100,65,125
283,100,65,126
284,100,65,127
285,100,65,128
286,100,65,129
287,100,65,130
288,100,65,131
289,100,65,132
290,100,65,133
291,100,65,134
292,100,65,135
293,100,65,136
294,100,65,137
295,100,65,138
296,100,65,139
297,100,65,140
298,100,65,141
299,100,65,142
300,100,65,143
301,100,65,144
302,100,65,145
303,100,65,146
304,100,65,147
305,100,65,148
306,100,65,149
307,100,65,150
308,100,65,151
309,100,65,152
